,Unnamed: 0,date,open,high,low,close,volume,past_ret_1h,past_ret_2h,past_ret_4h,past_ret_8h,past_ret_16h,forward regime,probability,0.6 percent prediction,1 percent prediction,1.5 percent prediction,RSI_16
632,632,5/28/2025 21:00,3296.65,3297.0,3276.56,3287.97,153,0.002709879,0.00428836,0.00159673,0.007311502,0.002536519,downward,,,,,45.02979737697201
633,633,5/28/2025 22:00,3287.97,3287.97,3286.47,3286.47,2,0.000456417,0.003167532,0.003039736,0.005556113,0.00647199,downward,93.0,1.0,1.0,1.0,35.62254968153343
634,634,5/28/2025 23:00,3287.12,3293.82,3282.06,3286.54,163,-2.13e-05,0.000435108,0.004725334,0.004795317,0.006487065,downward,95.0,1.0,1.0,1.0,35.57900432823439
635,635,5/29/2025 0:00,3286.18,3286.43,3252.18,3259.78,160,0.008209143,0.008187669,0.011381136,0.011071299,0.018059501,upward,89.0,1.0,1.0,1.0,17.25442207111402
636,636,5/29/2025 1:00,3259.11,3268.6,3253.1,3263.04,166,-0.000999068,0.007201873,0.007640115,0.009249044,0.017986295,range,99.0,1.0,-1.0,1.0,17.41978461165938
637,637,5/29/2025 2:00,3264.9,3264.9,3245.25,3263.7,151,-0.000202224,-0.001201091,0.006976744,0.010037687,0.018439195,upward,99.0,1.0,-1.0,1.0,16.030706705513253
638,638,5/29/2025 3:00,3263.5,3274.64,3261.55,3269.86,156,-0.001883873,-0.002085716,0.005101136,0.009850575,0.013077012,range,99.0,1.0,-1.0,1.0,24.389075227132395
639,639,5/29/2025 4:00,3269.77,3279.22,3268.12,3274.76,155,-0.001496293,-0.003377347,-0.004574381,0.006754693,0.010959582,range,96.0,1.0,-1.0,1.0,29.23272769301306
640,640,5/29/2025 5:00,3274.5,3275.0,3269.08,3270.09,152,0.001428095,-7.03e-05,-0.002155904,0.005467739,0.012819219,upward,99.0,1.0,-1.0,1.0,26.638430672730735
641,641,5/29/2025 6:00,3268.99,3271.92,3266.33,3271.89,157,-0.000550141,0.000877169,-0.00250314,0.00445614,0.010037012,upward,97.0,1.0,-1.0,1.0,30.508072174159466
642,642,5/29/2025 7:00,3271.43,3276.03,3268.12,3271.44,157,0.000137554,-0.000412662,-0.000482968,0.004615704,0.009433155,upward,97.0,1.0,-1.0,1.0,31.2424021389499
643,643,5/29/2025 8:00,3272.03,3286.92,3271.41,3286.72,156,-0.004649012,-0.004512097,-0.003638886,-0.008196622,0.00278393,upward,97.0,1.0,-1.0,1.0,44.97859729917715
644,644,5/29/2025 9:00,3286.86,3288.62,3278.0,3281.54,158,0.001578527,-0.003077823,-0.003489215,-0.005637597,0.003559304,upward,91.0,-1.0,-1.0,1.0,43.76334899540779
645,645,5/29/2025 10:00,3281.67,3283.0,3276.33,3282.01,159,-0.000143205,0.001435096,-0.003083476,-0.005578898,0.00440279,upward,96.0,-1.0,-1.0,1.0,42.04908110413481
646,646,5/29/2025 11:00,3282.03,3299.77,3282.01,3296.66,154,-0.004443892,-0.00458646,-0.007650167,-0.00812944,0.001641055,upward,96.0,-1.0,-1.0,1.0,47.292563306218746
647,647,5/29/2025 12:00,3296.7,3304.66,3294.6,3299.25,156,-0.000785027,-0.00522543,-0.003797833,-0.007422899,-0.000718345,upward,97.0,-1.0,-1.0,1.0,51.217757680793824
648,648,5/29/2025 13:00,3299.61,3316.7,3298.77,3316.26,154,-0.005129272,-0.005910272,-0.010469625,-0.01392231,-0.008530694,range,96.0,-1.0,-1.0,1.0,63.41903045155639
649,649,5/29/2025 14:00,3314.7,3321.78,3310.43,3313.45,153,0.000848059,-0.004285563,-0.009488599,-0.012542818,-0.00814257,range,92.0,-1.0,-1.0,1.0,62.64055472169957
650,650,5/29/2025 15:00,3313.79,3318.68,3305.25,3310.24,152,0.000969718,0.001818599,-0.004102422,-0.011721205,-0.007159602,upward,99.0,1.0,-1.0,1.0,60.78645548791859
651,651,5/29/2025 16:00,3311.24,3321.49,3310.23,3321.49,155,-0.003387034,-0.0024206,-0.00669579,-0.010468193,-0.018579011,range,99.0,1.0,-1.0,1.0,82.70270270130003
652,652,5/29/2025 17:00,3320.61,3330.25,3320.28,3322.16,158,-0.000201676,-0.003588027,-0.001775953,-0.012226985,-0.017795651,range,97.0,1.0,-1.0,1.0,82.21447253561949
